name,first_name,last_name,short_name,position,jersey_number,height,team_id,shirt_number,substitute,total_pass,accurate_pass,total_long_balls,accurate_long_balls,goal_assist,accurate_own_half_passes,total_own_half_passes,accurate_opposition_half_passes,total_opposition_half_passes,duel_lost,challenge_lost,ball_recovery,good_high_claim,saved_shots_from_inside_the_box,penalty_faced,saves,minutes_played,touches,rating,possession_lost_ctrl,expected_assists,keeper_save_value,total_shots,goals_prevented,pass_value_normalized,defensive_value_normalized,goalkeeper_value_normalized,total_cross,aerial_lost,aerial_won,duel_won,total_contest,outfielder_block,interception_won,total_tackle,won_tackle,unsuccessful_touch,penalty_conceded,was_fouled,fouls,top_speed,kilometers_covered,number_of_sprints,total_ball_carries_distance,ball_carries_count,total_progression,best_ball_carry_progression,total_progressive_ball_carries_distance,progressive_ball_carries_count,dribble_value_normalized,meters_covered_running_km,meters_covered_high_speed_running_km,meters_covered_sprinting_km,dispossessed,total_clearance,won_contest,clearance_off_line,last_man_tackle,blocked_scoring_attempt,expected_goals,key_pass,shot_value_normalized,big_chance_created,shot_off_target,big_chance_missed,on_target_scoring_attempt,expected_goals_on_target,goals,total_offside,total_keeper_sweeper,accurate_keeper_sweeper,penalty_won,accurate_cross,error_lead_to_ashot,team_name,captain,match_id,home_team,away_team,home_score,away_score,tournament,season,status,start_time
Mike Maignan,Mike,Maignan,M. Maignan,G,16.0,190,4481,16,False,12.0,11.0,3.0,2.0,0.0,10.0,10.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,4.0,90.0,20.0,6.5,1.0,0.00031743,0.9139,0,-1.0147,0.03,-0.64,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Malo Gusto,,,M. Gusto,D,27.0,179,4481,2,False,42.0,36.0,1.0,1.0,0.0,13.0,14.0,23.0,28.0,7.0,3.0,6.0,,,,,89.0,60.0,5.5,11.0,0.0254452,,0,,0.16,-1.0,,2.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,34.36,9.97,20.0,153.39462341511,17.0,115.35390457503,35.247134216818,77.356652075759,4.0,0.32,1.69,0.73,0.4,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Ibrahima Konaté,Ibrahima,Konate,I. Konaté,D,5.0,195,4481,15,False,23.0,21.0,,,0.0,11.0,12.0,10.0,11.0,3.0,,1.0,,,,,45.0,27.0,5.5,4.0,0.00276378,,0,,0.05,-0.71,,,,,1.0,,,,,,1.0,,1.0,2.0,29.88,4.85,8.0,76.709429151816,12.0,14.4090655945,,,0.0,0.04,0.76,0.29,0.13,1.0,1.0,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Maxence Lacroix,Maxence,Lacroix,M. Lacroix,D,5.0,192,4481,26,False,35.0,34.0,1.0,1.0,0.0,25.0,25.0,9.0,10.0,4.0,1.0,2.0,,,,,90.0,46.0,7.2,1.0,0.00801729,,0,,0.06,0.22,,,2.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,,,,1.0,34.31,9.46,15.0,106.32094499021,13.0,59.502657329476,,,0.0,0.04,1.47,0.41,0.36,,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Theo Hernández,Theo,Hernandez,T. Hernández,D,19.0,184,4481,19,False,24.0,20.0,3.0,,0.0,11.0,13.0,9.0,11.0,,,3.0,,,,,45.0,29.0,5.8,5.0,0.0487817,,0,,0.1,-0.57,,1.0,,,,,1.0,1.0,,,,,,,35.47,5.09,11.0,131.76702155643,11.0,62.770643433051,33.231879383597,74.142407482668,3.0,0.11,0.81,0.36,0.29,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Warren Zaïre-Emery,,,W. Zaïre-Emery,M,33.0,178,4481,18,False,57.0,54.0,3.0,2.0,0.0,20.0,20.0,34.0,37.0,3.0,1.0,7.0,,,,,90.0,63.0,6.6,6.0,0.0376881,,1,,0.27,-0.19,,,,1.0,1.0,,,,,,1.0,,,,29.52,11.02,8.0,187.29924291829,23.0,95.231662678271,16.298076690914,16.897245337628,1.0,0.28,2.0,0.59,0.12,2.0,1.0,,,,1.0,0.0274,2.0,0.0,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Adrien Rabiot,Adrien,Rabiot,A. Rabiot,M,12.0,191,4481,14,False,40.0,37.0,1.0,1.0,0.0,11.0,13.0,26.0,27.0,7.0,2.0,4.0,,,,,90.0,55.0,6.1,6.0,0.0245587,,1,,0.07,-0.36,,,1.0,,3.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,28.05,10.73,4.0,116.04412797838,14.0,59.436125767456,,,0.0,0.08,1.73,0.43,0.03,1.0,1.0,,,,,0.0649,2.0,-0.11,1.0,1.0,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Michael Olise,,,M. Olise,M,17.0,184,4481,11,False,56.0,50.0,2.0,1.0,2.0,18.0,18.0,32.0,38.0,9.0,2.0,6.0,,,,,90.0,82.0,6.9,15.0,0.818475,,3,,0.77,-0.43,,,,,6.0,4.0,,,5.0,2.0,2.0,,,1.0,33.18,11.3,16.0,322.66086829922,28.0,195.06522786359,28.927895021171,158.66130116409,9.0,0.5,1.84,0.62,0.31,3.0,,1.0,,,,0.4238,4.0,-0.69,2.0,3.0,1.0,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Rayan Cherki,,,R. Cherki,M,10.0,176,4481,24,False,29.0,25.0,4.0,2.0,0.0,10.0,11.0,15.0,18.0,1.0,,3.0,,,,,45.0,35.0,6.4,7.0,0.247445,,1,,0.05,-0.22,,,,,1.0,,,,,,2.0,,1.0,,27.97,5.86,5.0,50.694465546411,8.0,29.206625936513,,,0.0,0.16,1.0,0.3,0.06,1.0,,,,,,0.0447,,-0.02,,,,1.0,0.1158,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Désiré Doué,Désiré Doué,,D. Doué,F,14.0,181,4481,20,False,20.0,19.0,2.0,2.0,0.0,9.0,10.0,10.0,10.0,3.0,1.0,1.0,,,,,45.0,28.0,5.8,3.0,0.0229417,,0,,-0.07,-0.27,,,,,4.0,2.0,,,1.0,,,,2.0,1.0,30.99,5.99,10.0,43.51513108406,7.0,24.671313612486,9.3666367404534,10.868417364088,1.0,-0.23,1.24,0.41,0.15,,,1.0,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
