name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,unsuccessfulTouch,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,aerialLost,aerialWon,duelLost,totalContest,blockedScoringAttempt,outfielderBlock,interceptionWon,fouls,expectedGoals,topSpeed,kilometersCovered,numberOfSprints,shotValueNormalized,metersCoveredRunningKm,metersCoveredHighSpeedRunningKm,metersCoveredSprintingKm,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,expectedGoalsOnTarget,challengeLost,totalTackle,bestBallCarryProgression,totalProgressiveBallCarriesDistance,dispossessed,wonContest,keyPass,accurateCross,bigChanceCreated,wonTackle,penaltyWon,goals,lastManTackle,errorLeadToAShot,penaltyFaced,penaltyConceded,totalOffside,teamName,captain,match_id,home_team,away_team,home_score,away_score,tournament,season,status,start_time
Jordan Pickford,Jordan,Pickford,jordan-pickford,J. Pickford,G,1,185,10888,M,jpickford1,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",138530,EUR,762998400,"{'value': 13900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'bn': 'জর্ডান পিকফোর্ড', 'hi': 'जॉर्डन पिकफोर्ड', 'ru': 'Джордан Пикфорд'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'bn': 'জে.পিকফোর্ড', 'hi': 'जे. पिकफोर्ड', 'ru': 'Д. Пикфорд'}}",4713,1,1,G,False,55.0,43.0,19.0,7.0,0.0,39.0,40.0,4.0,15.0,1.0,3.0,12.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,90.0,72.0,6.1,13.0,0.00334615,161.47041190861,24.0,98.557321738584,0.0,0.2951,"{'original': 6.1, 'alternative': 7.2}",0,-1.4896,0.16,0.07,-0.18,-0.72,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Reece James,Reece,James,reece-james,R. James,D,24,180,56689,M,ReeceJ,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",885908,EUR,944611200,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس جيمس', 'bn': 'রিস জেমস', 'hi': 'रीस जेम्स', 'ru': 'Рис Джеймс'}, 'shortNameTranslation': {'ar': 'ر. جيمس', 'bn': 'আর. জেমস', 'hi': 'आर. जेम्स', 'ru': 'Р. Джеймс'}}",4713,24,24,D,False,43.0,36.0,3.0,,0.0,24.0,25.0,12.0,18.0,2.0,3.0,1.0,,,,,,,,,90.0,57.0,5.9,9.0,0.0107494,60.618942239872,11.0,12.138105425462,0.0,,"{'original': 5.9, 'alternative': 6.5}",1,,0.02,-0.35,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0398,29.87,9.41,5.0,0.01,1.34,0.34,0.07,,,,,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Ezri Konsa,,,ezri-konsa,E. Konsa,D,4,183,6311,M,h24msc,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",827679,EUR,877564800,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إزري كونسا', 'bn': 'ইজরি কনসা', 'hi': 'एज़री कोंसा', 'ru': 'Эзри Конса'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'bn': 'ই. কনসা', 'hi': 'ई. कोंसा', 'ru': 'Э. Конса'}}",4713,2,2,D,False,71.0,67.0,,,0.0,56.0,59.0,11.0,12.0,3.0,,3.0,1.0,2.0,,,,,,,90.0,79.0,6.2,5.0,0.00302171,127.52210552698,22.0,24.270803081262,0.0,,"{'original': 6.2, 'alternative': 6.4}",2,,0.08,0.06,-0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,4.0,1.0,5.0,,,,,1.0,0.6259,29.02,9.31,0.0,0.12,1.15,0.29,0.01,1.0,1.0,1.0,0.3357,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
John Stones,John,Stones,john-stones,J. Stones,D,,188,25491,M,johnstones5,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",152077,EUR,770083200,"{'value': 10900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ستونز', 'bn': 'জন স্টোনস', 'hi': 'जॉन स्टोन्स', 'ru': 'Джон Стоунс'}, 'shortNameTranslation': {'ar': 'ج. ستونز', 'bn': 'জে. স্টোনস', 'hi': 'जे. स्टोन्स', 'ru': 'Д. Стоунс'}}",4713,5,5,D,False,65.0,62.0,4.0,2.0,0.0,50.0,51.0,12.0,14.0,4.0,1.0,5.0,,1.0,,,,,,,87.0,71.0,6.4,3.0,0.00595246,225.7767305416,25.0,82.524554390627,2.0,,"{'original': 6.4, 'alternative': 6.4}",0,,0.06,0.11,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,2.0,3.0,,,,,1.0,,27.57,8.57,3.0,,1.06,0.3,0.03,,,,,1.0,1.0,18.706941320469,38.325856210503,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Nico O'Reilly,Nico,O’Reilly,nico-o-reilly,N. O’Reilly,D,33,193,34648,M,iwsxkt,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1142703,EUR,1111363200,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكو أوريلي', 'bn': ""নিকো ও'রেইলি"", 'hi': ""निको ओ'रेली"", 'ru': ""Нико О'Райли""}, 'shortNameTranslation': {'ar': 'ن. أوريلي', 'bn': ""এন. ও'রেইলি"", 'hi': ""एन. ओ'रेली"", 'ru': ""Н. О'Райли""}}",4713,3,3,D,False,43.0,36.0,2.0,1.0,0.0,24.0,25.0,12.0,18.0,5.0,1.0,1.0,2.0,1.0,,,,,,,90.0,64.0,6.3,10.0,0.062477,115.76787600732,14.0,41.649116293687,2.0,,"{'original': 6.3, 'alternative': 6.7}",2,,0.25,0.15,-0.42,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,1.0,5.0,3.0,,,,1.0,0.1801,35.57,10.09,14.0,-0.44,1.26,0.37,0.18,1.0,1.0,1.0,0.0612,2.0,,18.741712868108,43.411381416375,1.0,3.0,2.0,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Elliot Anderson,,,elliot-anderson,E. Anderson,M,8,179,31987,M,n5za3f,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",994546,EUR,1036540800,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إليوت أندرسون', 'bn': 'এলিয়ট অ্যান্ডারসন', 'hi': 'इलियट एंडरसन', 'ru': 'Эллиот Андерсон'}, 'shortNameTranslation': {'ar': 'إ. أندرسون', 'bn': 'ই. অ্যান্ডারসন', 'hi': 'ई. एंडरसन', 'ru': 'Э. Андерсон'}}",4713,8,8,M,False,55.0,47.0,3.0,2.0,1.0,31.0,34.0,16.0,21.0,6.0,2.0,8.0,1.0,2.0,,,,,,,90.0,70.0,7.0,9.0,0.0183283,166.94958062899,22.0,59.76010139346,1.0,,"{'original': 7, 'alternative': 7.4}",1,,0.27,0.22,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,2.0,2.0,5.0,,1.0,,4.0,3.0,0.0429,27.99,11.07,7.0,0.0,1.96,0.39,0.07,,,,,,2.0,7.1631591074933,11.137475656539,,,1.0,1.0,1.0,1.0,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Declan Rice,Declan,Rice,declan-rice,D. Rice,M,41,188,81202,M,DeclanRice,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",856714,EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'bn': 'ডেক্লান রাইস', 'hi': 'डेक्लान राइस', 'ru': 'Деклан Райс'}, 'shortNameTranslation': {'ar': 'د. رايس', 'bn': 'ডি. রাইস', 'hi': 'डी. राइस', 'ru': 'Д. Райс'}}",4713,4,4,M,False,37.0,32.0,1.0,,1.0,20.0,20.0,12.0,17.0,2.0,,4.0,,,,,,,,,72.0,52.0,6.9,11.0,0.221743,141.87315731375,13.0,67.514572413314,2.0,,"{'original': 6.9, 'alternative': 7.5}",1,,0.37,0.23,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9.0,,1.0,2.0,1.0,,,,1.0,0.0418,30.61,8.02,12.0,-0.23,1.22,0.37,0.15,,,1.0,0.0934,,,23.760017586166,41.009365560511,1.0,1.0,4.0,4.0,1.0,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Noni Madueke,,,noni-madueke,N. Madueke,F,20,182,45876,M,nonzinoo10,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",966547,EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'bn': 'ননি মাদুকে', 'hi': 'नोनी मदुके', 'ru': 'Нони Мадуэке'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'bn': 'এন. মাদুকে', 'hi': 'एन. मदुके', 'ru': 'Н. Мадуэке'}}",4713,20,20,M,False,18.0,17.0,1.0,1.0,0.0,6.0,6.0,11.0,12.0,2.0,,1.0,1.0,1.0,,,,,,,72.0,26.0,7.5,2.0,0.41016,105.11308067192,9.0,74.560082615071,3.0,,"{'original': 7.5, 'alternative': 7.7}",1,,0.45,0.34,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,1.0,,2.0,1.0,1.0,,1.0,,0.0795,35.49,7.28,13.0,0.0,1.01,0.37,0.3,,,,,1.0,,20.455846561088,53.663320950277,,1.0,2.0,1.0,1.0,,1.0,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Jude Bellingham,,,jude-bellingham,J. Bellingham,M,5,188,1345495,M,JudeBell,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",991011,EUR,1056844800,"{'value': 123000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جود بيلينغهام', 'bn': 'জুড বেলিংহাম', 'hi': 'जूड बेलिंघम', 'ru': 'Джуд Беллингем'}, 'shortNameTranslation': {'ar': 'ج. بيلينغهام', 'bn': 'জে. বেলিংহাম', 'hi': 'जे. बेलिंघम', 'ru': 'Д. Беллингем'}}",4713,10,10,M,False,24.0,18.0,1.0,,0.0,13.0,16.0,5.0,8.0,5.0,1.0,5.0,2.0,1.0,,,,,,,80.0,41.0,7.7,10.0,0.00245714,80.496676573015,10.0,15.209303902385,2.0,,"{'original': 7.7, 'alternative': 7.7}",3,,-0.01,0.36,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,1.0,,2.0,1.0,,,1.0,,0.4822,31.05,8.66,14.0,0.42,1.36,0.68,0.29,1.0,1.0,2.0,0.7509,,3.0,17.882039145177,28.223258548008,1.0,1.0,1.0,,,3.0,,1.0,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Anthony Gordon,Anthony,Gordon,anthony-gordon,A. Gordon,F,10,183,92798,M,AGordon,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",914902,EUR,982972800,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني غوردون', 'bn': 'গর্ডন, অ্যান্টনি', 'hi': 'गॉर्डन, एंथनी', 'ru': 'Энтони Гордон'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'bn': 'এ. গর্ডন', 'hi': 'ए. गॉर्डन', 'ru': 'Э. Гордон'}}",4713,18,18,M,False,11.0,9.0,1.0,,0.0,4.0,4.0,5.0,7.0,,,,,,,,,,,,72.0,17.0,6.3,4.0,0.0131514,35.973220819704,6.0,-7.3077637599327,0.0,,"{'original': 6.3, 'alternative': 6.1}",2,,0.03,-0.52,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,2.0,2.0,1.0,,,,0.2662,35.33,7.39,19.0,0.11,1.03,0.56,0.29,1.0,,1.0,0.3149,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
