name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,aerialLost,aerialWon,duelWon,totalContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,wasFouled,fouls,topSpeed,kilometersCovered,numberOfSprints,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,dribbleValueNormalized,metersCoveredRunningKm,metersCoveredHighSpeedRunningKm,metersCoveredSprintingKm,dispossessed,totalClearance,wonContest,clearanceOffLine,lastManTackle,blockedScoringAttempt,expectedGoals,keyPass,shotValueNormalized,bigChanceCreated,shotOffTarget,bigChanceMissed,onTargetScoringAttempt,expectedGoalsOnTarget,goals,totalOffside,totalKeeperSweeper,accurateKeeperSweeper,penaltyWon,accurateCross,errorLeadToAShot,teamName,captain,match_id,home_team,away_team,home_score,away_score,tournament,season,status,start_time
Mike Maignan,Mike,Maignan,mike-maignan,M. Maignan,G,16,190,20273,M,MMaignan,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",191210,EUR,804729600,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايك مانيان', 'bn': 'মাইক ম্যাগনান', 'hi': 'माइक मैग्नन', 'ru': 'Майк Меньян'}, 'shortNameTranslation': {'ar': 'م. ميانيان', 'bn': 'এম. ম্যাগনান', 'hi': 'एम. मैग्नन', 'ru': 'М. Меньян'}}",4481,16,16,G,FALSE,12,11,3,2,0,10,10,1,2,1,1,4,1,3,1,4,90,20,6.5,1,0.00031743,0.9139,"{'original': 6.5, 'alternative': 6.1}",0,-1.0147,0.03,-0.64,0.42,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Malo Gusto,,,gusto-malo,M. Gusto,D,27,179,23435,M,malogst,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",996958,EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مالو غوستو', 'bn': 'গুস্টো, মালো', 'hi': 'गुस्टो, मालो', 'ru': 'Мало Густо'}, 'shortNameTranslation': {'ar': 'م. غوستو', 'bn': 'এম. গুস্টো', 'hi': 'एम. गुस्टो', 'ru': 'М. Густо'}}",4481,2,2,D,FALSE,42,36,1,1,0,13,14,23,28,7,3,6,,,,,89,60,5.5,11,0.0254452,,"{'original': 5.5, 'alternative': 6.3}",0,,0.16,-1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,6,1,2,2,3,3,2,1,2,2,34.36,9.97,20,153.3946234,17,115.3539046,35.24713422,77.35665208,4,0.32,1.69,0.73,0.4,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Ibrahima Konaté,Ibrahima,Konate,ibrahima-konate,I. Konaté,D,5,195,54937,M,ibrahimakonate,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",826215,EUR,927590400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'bn': 'ইব্রাহিম কোনাতে', 'hi': 'इब्राहीमा कोनाटे', 'ru': 'Ибрагима Конате'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'bn': 'আই. কোনাতে', 'hi': 'आई. कोनाटे', 'ru': 'И. Конате'}}",4481,15,15,D,FALSE,23,21,,,0,11,12,10,11,3,,1,,,,,45,27,5.5,4,0.00276378,,"{'original': 5.5, 'alternative': 5.8}",0,,0.05,-0.71,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,1,,,,,,1,,1,2,29.88,4.85,8,76.70942915,12,14.40906559,,,0,0.04,0.76,0.29,0.13,1,1,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Maxence Lacroix,Maxence,Lacroix,maxence-lacroix,M. Lacroix,D,5,192,15352,M,txiy85,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",879674,EUR,954979200,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكسنس لاكروآ', 'bn': 'ম্যাক্সেন্স ল্যাক্রোইক্স', 'hi': 'मैक्सेंस लैक्रोइक्स', 'ru': 'Максенс Лакруа'}, 'shortNameTranslation': {'ar': 'م. لاكروآ', 'bn': 'এম. ল্যাক্রোইক্স', 'hi': 'एम. लैक्रोइक्स', 'ru': 'М. Лакруа'}}",4481,26,26,D,FALSE,35,34,1,1,0,25,25,9,10,4,1,2,,,,,90,46,7.2,1,0.00801729,,"{'original': 7.2, 'alternative': 7.1}",0,,0.06,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,2,3,5,1,4,1,1,1,,,,1,34.31,9.46,15,106.320945,13,59.50265733,,,0,0.04,1.47,0.41,0.36,,4,1,1,1,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Theo Hernández,Theo,Hernandez,theo-hernandez,T. Hernández,D,19,184,30265,M,TheoHdez,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",788027,EUR,876096000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ثيو هيرنانديز', 'bn': 'থিও হার্নান্দেজ', 'hi': 'थियो हर्नांडेज़', 'ru': 'Тео Эрнандес'}, 'shortNameTranslation': {'ar': 'ث. هيرنانديز', 'bn': 'টি. হার্নান্দেজ', 'hi': 'टी. हर्नांडेज़', 'ru': 'Т. Эрнандес'}}",4481,19,19,D,FALSE,24,20,3,,0,11,13,9,11,,,3,,,,,45,29,5.8,5,0.0487817,,"{'original': 5.8, 'alternative': 6}",0,,0.1,-0.57,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,,,,,1,1,,,,,,,35.47,5.09,11,131.7670216,11,62.77064343,33.23187938,74.14240748,3,0.11,0.81,0.36,0.29,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Warren Zaïre-Emery,,,warren-zaire-emery,W. Zaïre-Emery,M,33,178,22310,M,wzairemery6,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",1142672,EUR,1141776000,"{'value': 78000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'وارن زائير إيمري', 'bn': 'ওয়ারেন জায়ার-এমেরি', 'hi': 'वॉरेन ज़ैरे-एमरी', 'ru': 'Уоррен Заир-Эмери'}, 'shortNameTranslation': {'ar': 'و. زير إيمري', 'bn': 'ডব্লিউ. জাইরে-এমেরি', 'hi': 'डब्लू. ज़ैरे-एमरी', 'ru': 'У. Заир-Эмери'}}",4481,18,18,M,FALSE,57,54,3,2,0,20,20,34,37,3,1,7,,,,,90,63,6.6,6,0.0376881,,"{'original': 6.6, 'alternative': 6.4}",1,,0.27,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,1,1,,,,,,1,,,,29.52,11.02,8,187.2992429,23,95.23166268,16.29807669,16.89724534,1,0.28,2,0.59,0.12,2,1,,,,1,0.0274,2,0,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Adrien Rabiot,Adrien,Rabiot,adrien-rabiot,A. Rabiot,M,12,191,15742,M,adrienrabiot_25,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",250737,EUR,796867200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أدريان رابيو', 'bn': 'অ্যাড্রিয়েন রাবিওট', 'hi': 'एड्रियन रेबियोट', 'ru': 'Адриен Рабьо'}, 'shortNameTranslation': {'ar': 'أ. رابيو', 'bn': 'এ. রাবিওট', 'hi': 'ए. रेबियोट', 'ru': 'А. Рабьо'}}",4481,14,14,M,FALSE,40,37,1,1,0,11,13,26,27,7,2,4,,,,,90,55,6.1,6,0.0245587,,"{'original': 6.1, 'alternative': 6.7}",1,,0.07,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1,,3,1,,2,2,2,1,,1,2,28.05,10.73,4,116.044128,14,59.43612577,,,0,0.08,1.73,0.43,0.03,1,1,,,,,0.0649,2,-0.11,1,1,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Michael Olise,,,michael-olise,M. Olise,M,17,184,365409,M,MOlise,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",978838,EUR,1008115200,"{'value': 144000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أوليس', 'bn': 'মাইকেল ওলিস', 'hi': 'माइकल ओलिस', 'ru': 'Майкл Олисе'}, 'shortNameTranslation': {'ar': 'م. أوليس', 'bn': 'এম. ওলিস', 'hi': 'एम. ओलिस', 'ru': 'М. Олисе'}}",4481,11,11,M,FALSE,56,50,2,1,2,18,18,32,38,9,2,6,,,,,90,82,6.9,15,0.818475,,"{'original': 6.9, 'alternative': 7.8}",3,,0.77,-0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,6,4,,,5,2,2,,,1,33.18,11.3,16,322.6608683,28,195.0652279,28.92789502,158.6613012,9,0.5,1.84,0.62,0.31,3,,1,,,,0.4238,4,-0.69,2,3,1,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Rayan Cherki,,,cherki-rayan,R. Cherki,M,10,176,108441,M,rayan_cherki,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",979128,EUR,1061078400,"{'value': 98000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان شرقي', 'bn': 'চেরকি, রায়ান', 'hi': 'चेरकी, रायन', 'ru': 'Раян Шерки'}, 'shortNameTranslation': {'ar': 'ر. شرقي', 'bn': 'আর. চেরকি', 'hi': 'आर. चेरकी', 'ru': 'Р. Шерки'}}",4481,24,24,M,FALSE,29,25,4,2,0,10,11,15,18,1,,3,,,,,45,35,6.4,7,0.247445,,"{'original': 6.4, 'alternative': 6.6}",1,,0.05,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,1,,,,,,2,,1,,27.97,5.86,5,50.69446555,8,29.20662594,,,0,0.16,1,0.3,0.06,1,,,,,,0.0447,,-0.02,,,,1,0.1158,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Désiré Doué,Désiré Doué,,desire-doue,D. Doué,F,14,181,126238,M,DD14,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",1154605,EUR,1117756800,"{'value': 124000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديزيري دويه', 'bn': 'ডিজায়ার ডুয়ে', 'hi': 'डेसिरे डौए', 'ru': 'Дезире Дуэ'}, 'shortNameTranslation': {'ar': 'ديزيري دويه', 'bn': 'ডি. ডুয়ে', 'hi': 'डी. डौए', 'ru': 'Д. Дуэ'}}",4481,20,20,M,FALSE,20,19,2,2,0,9,10,10,10,3,1,1,,,,,45,28,5.8,3,0.0229417,,"{'original': 5.8, 'alternative': 5.9}",0,,-0.07,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,4,2,,,1,,,,2,1,30.99,5.99,10,43.51513108,7,24.67131361,9.36663674,10.86841736,1,-0.23,1.24,0.41,0.15,,,1,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
