name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,aerialLost,aerialWon,duelWon,totalContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,wasFouled,fouls,topSpeed,kilometersCovered,numberOfSprints,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,dribbleValueNormalized,metersCoveredRunningKm,metersCoveredHighSpeedRunningKm,metersCoveredSprintingKm,dispossessed,totalClearance,wonContest,clearanceOffLine,lastManTackle,blockedScoringAttempt,expectedGoals,keyPass,shotValueNormalized,bigChanceCreated,shotOffTarget,bigChanceMissed,onTargetScoringAttempt,expectedGoalsOnTarget,goals,totalOffside,totalKeeperSweeper,accurateKeeperSweeper,penaltyWon,accurateCross,errorLeadToAShot,teamName,captain,match_id,home_team,away_team,home_score,away_score,tournament,season,status,start_time
Mike Maignan,Mike,Maignan,mike-maignan,M. Maignan,G,16,190,20307,M,MMaignan,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",191210,EUR,804729600,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايك مانيان', 'bn': 'মাইক ম্যাগনান', 'hi': 'माइक मैग्नन', 'ru': 'Майк Меньян'}, 'shortNameTranslation': {'ar': 'م. ميانيان', 'bn': 'এম. ম্যাগনান', 'hi': 'एम. मैग्नन', 'ru': 'М. Меньян'}}",4481,16,16,G,False,12.0,11.0,3.0,2.0,0.0,10.0,10.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,4.0,90.0,20.0,6.5,1.0,0.00031743,0.9139,"{'original': 6.5, 'alternative': 6.1}",0,-1.0147,0.03,-0.64,0.42,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Malo Gusto,,,gusto-malo,M. Gusto,D,27,179,23495,M,malogst,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",996958,EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مالو غوستو', 'bn': 'গুস্টো, মালো', 'hi': 'गुस्टो, मालो', 'ru': 'Мало Густо'}, 'shortNameTranslation': {'ar': 'م. غوستو', 'bn': 'এম. গুস্টো', 'hi': 'एम. गुस्टो', 'ru': 'М. Густо'}}",4481,2,2,D,False,42.0,36.0,1.0,1.0,0.0,13.0,14.0,23.0,28.0,7.0,3.0,6.0,,,,,89.0,60.0,5.5,11.0,0.0254452,,"{'original': 5.5, 'alternative': 6.3}",0,,0.16,-1.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,34.36,9.97,20.0,153.39462341511,17.0,115.35390457503,35.247134216818,77.356652075759,4.0,0.32,1.69,0.73,0.4,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Ibrahima Konaté,Ibrahima,Konate,ibrahima-konate,I. Konaté,D,5,195,55712,M,ibrahimakonate,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",826215,EUR,927590400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'bn': 'ইব্রাহিম কোনাতে', 'hi': 'इब्राहीमा कोनाटे', 'ru': 'Ибрагима Конате'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'bn': 'আই. কোনাতে', 'hi': 'आई. कोनाटे', 'ru': 'И. Конате'}}",4481,15,15,D,False,23.0,21.0,,,0.0,11.0,12.0,10.0,11.0,3.0,,1.0,,,,,45.0,27.0,5.5,4.0,0.00276378,,"{'original': 5.5, 'alternative': 5.8}",0,,0.05,-0.71,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,1.0,,,,,,1.0,,1.0,2.0,29.88,4.85,8.0,76.709429151816,12.0,14.4090655945,,,0.0,0.04,0.76,0.29,0.13,1.0,1.0,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Maxence Lacroix,Maxence,Lacroix,maxence-lacroix,M. Lacroix,D,5,192,15645,M,txiy85,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",879674,EUR,954979200,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكسنس لاكروآ', 'bn': 'ম্যাক্সেন্স ল্যাক্রোইক্স', 'hi': 'मैक्सेंस लैक्रोइक्स', 'ru': 'Максенс Лакруа'}, 'shortNameTranslation': {'ar': 'م. لاكروآ', 'bn': 'এম. ল্যাক্রোইক্স', 'hi': 'एम. लैक्रोइक्स', 'ru': 'М. Лакруа'}}",4481,26,26,D,False,35.0,34.0,1.0,1.0,0.0,25.0,25.0,9.0,10.0,4.0,1.0,2.0,,,,,90.0,46.0,7.2,1.0,0.00801729,,"{'original': 7.2, 'alternative': 7.1}",0,,0.06,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,2.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,,,,1.0,34.31,9.46,15.0,106.32094499021,13.0,59.502657329476,,,0.0,0.04,1.47,0.41,0.36,,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Theo Hernández,Theo,Hernandez,theo-hernandez,T. Hernández,D,19,184,30302,M,TheoHdez,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",788027,EUR,876096000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ثيو هيرنانديز', 'bn': 'থিও হার্নান্দেজ', 'hi': 'थियो हर्नांडेज़', 'ru': 'Тео Эрнандес'}, 'shortNameTranslation': {'ar': 'ث. هيرنانديز', 'bn': 'টি. হার্নান্দেজ', 'hi': 'टी. हर्नांडेज़', 'ru': 'Т. Эрнандес'}}",4481,19,19,D,False,24.0,20.0,3.0,,0.0,11.0,13.0,9.0,11.0,,,3.0,,,,,45.0,29.0,5.8,5.0,0.0487817,,"{'original': 5.8, 'alternative': 6}",0,,0.1,-0.57,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,,,,1.0,1.0,,,,,,,35.47,5.09,11.0,131.76702155643,11.0,62.770643433051,33.231879383597,74.142407482668,3.0,0.11,0.81,0.36,0.29,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Warren Zaïre-Emery,,,warren-zaire-emery,W. Zaïre-Emery,M,33,178,22371,M,wzairemery6,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",1142672,EUR,1141776000,"{'value': 78000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'وارن زائير إيمري', 'bn': 'ওয়ারেন জায়ার-এমেরি', 'hi': 'वॉरेन ज़ैरे-एमरी', 'ru': 'Уоррен Заир-Эмери'}, 'shortNameTranslation': {'ar': 'و. زير إيمري', 'bn': 'ডব্লিউ. জাইরে-এমেরি', 'hi': 'डब्लू. ज़ैरे-एमरी', 'ru': 'У. Заир-Эмери'}}",4481,18,18,M,False,57.0,54.0,3.0,2.0,0.0,20.0,20.0,34.0,37.0,3.0,1.0,7.0,,,,,90.0,63.0,6.6,6.0,0.0376881,,"{'original': 6.6, 'alternative': 6.4}",1,,0.27,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,1.0,1.0,,,,,,1.0,,,,29.52,11.02,8.0,187.29924291829,23.0,95.231662678271,16.298076690914,16.897245337628,1.0,0.28,2.0,0.59,0.12,2.0,1.0,,,,1.0,0.0274,2.0,0.0,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Adrien Rabiot,Adrien,Rabiot,adrien-rabiot,A. Rabiot,M,12,191,15769,M,adrienrabiot_25,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",250737,EUR,796867200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أدريان رابيو', 'bn': 'অ্যাড্রিয়েন রাবিওট', 'hi': 'एड्रियन रेबियोट', 'ru': 'Адриен Рабьо'}, 'shortNameTranslation': {'ar': 'أ. رابيو', 'bn': 'এ. রাবিওট', 'hi': 'ए. रेबियोट', 'ru': 'А. Рабьо'}}",4481,14,14,M,False,40.0,37.0,1.0,1.0,0.0,11.0,13.0,26.0,27.0,7.0,2.0,4.0,,,,,90.0,55.0,6.1,6.0,0.0245587,,"{'original': 6.1, 'alternative': 6.7}",1,,0.07,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,,3.0,1.0,,2.0,2.0,2.0,1.0,,1.0,2.0,28.05,10.73,4.0,116.04412797838,14.0,59.436125767456,,,0.0,0.08,1.73,0.43,0.03,1.0,1.0,,,,,0.0649,2.0,-0.11,1.0,1.0,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Michael Olise,,,michael-olise,M. Olise,M,17,184,370374,M,MOlise,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",978838,EUR,1008115200,"{'value': 144000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أوليس', 'bn': 'মাইকেল ওলিস', 'hi': 'माइकल ओलिस', 'ru': 'Майкл Олисе'}, 'shortNameTranslation': {'ar': 'م. أوليس', 'bn': 'এম. ওলিস', 'hi': 'एम. ओलिस', 'ru': 'М. Олисе'}}",4481,11,11,M,False,56.0,50.0,2.0,1.0,2.0,18.0,18.0,32.0,38.0,9.0,2.0,6.0,,,,,90.0,82.0,6.9,15.0,0.818475,,"{'original': 6.9, 'alternative': 7.8}",3,,0.77,-0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,6.0,4.0,,,5.0,2.0,2.0,,,1.0,33.18,11.3,16.0,322.66086829922,28.0,195.06522786359,28.927895021171,158.66130116409,9.0,0.5,1.84,0.62,0.31,3.0,,1.0,,,,0.4238,4.0,-0.69,2.0,3.0,1.0,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Rayan Cherki,,,cherki-rayan,R. Cherki,M,10,176,108572,M,rayan_cherki,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",979128,EUR,1061078400,"{'value': 98000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان شرقي', 'bn': 'চেরকি, রায়ান', 'hi': 'चेरकी, रायन', 'ru': 'Раян Шерки'}, 'shortNameTranslation': {'ar': 'ر. شرقي', 'bn': 'আর. চেরকি', 'hi': 'आर. चेरकी', 'ru': 'Р. Шерки'}}",4481,24,24,M,False,29.0,25.0,4.0,2.0,0.0,10.0,11.0,15.0,18.0,1.0,,3.0,,,,,45.0,35.0,6.4,7.0,0.247445,,"{'original': 6.4, 'alternative': 6.6}",1,,0.05,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,1.0,,,,,,2.0,,1.0,,27.97,5.86,5.0,50.694465546411,8.0,29.206625936513,,,0.0,0.16,1.0,0.3,0.06,1.0,,,,,,0.0447,,-0.02,,,,1.0,0.1158,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
Désiré Doué,Désiré Doué,,desire-doue,D. Doué,F,14,181,126501,M,DD14,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",1154605,EUR,1117756800,"{'value': 124000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديزيري دويه', 'bn': 'ডিজায়ার ডুয়ে', 'hi': 'डेसिरे डौए', 'ru': 'Дезире Дуэ'}, 'shortNameTranslation': {'ar': 'ديزيري دويه', 'bn': 'ডি. ডুয়ে', 'hi': 'डी. डौए', 'ru': 'Д. Дуэ'}}",4481,20,20,M,False,20.0,19.0,2.0,2.0,0.0,9.0,10.0,10.0,10.0,3.0,1.0,1.0,,,,,45.0,28.0,5.8,3.0,0.0229417,,"{'original': 5.8, 'alternative': 5.9}",0,,-0.07,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,4.0,2.0,,,1.0,,,,2.0,1.0,30.99,5.99,10.0,43.51513108406,7.0,24.671313612486,9.3666367404534,10.868417364088,1.0,-0.23,1.24,0.41,0.15,,,1.0,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,1784408400
